person1,person2,meeting_times,meeting_information
Kare Orilla,Varja Lagos,3,"['(""Roberts and Sons"", ""2014-01-09 12:38:17"", ""2014-01-09 13:28:01"", ""00:49:44"")', '(""Roberts and Sons"", ""2014-01-10 12:33:17"", ""2014-01-10 13:31:01"", ""00:57:44"")', '(""Katerina\'s Café"", ""2014-01-13 12:40:23"", ""2014-01-13 13:23:01"", ""00:42:38"")']"
Marin Onda,Varja Lagos,2,"['(""Roberts and Sons"", ""2014-01-10 12:23:26"", ""2014-01-10 13:31:01"", ""01:07:35"")', '(""Brew\'ve Been Served"", ""2014-01-06 19:35:15"", ""2014-01-06 20:18:01"", ""00:42:46"")']"
Kare Orilla,Minke Mies,5,"['(""Roberts and Sons"", ""2014-01-10 12:33:17"", ""2014-01-10 13:56:01"", ""01:22:44"")', '(""Roberts and Sons"", ""2014-01-14 12:36:26"", ""2014-01-14 13:46:01"", ""01:09:35"")', '(""Katerina\'s Café"", ""2014-01-19 13:02:20"", ""2014-01-19 13:10:01"", ""00:07:41"")', '(""Katerina\'s Café"", ""2014-01-19 13:10:01"", ""2014-01-19 13:56:01"", ""00:46:00"")', '(""Taxiarchon Park"", ""2014-01-08 23:06:07"", ""2014-01-08 23:53:01"", ""00:46:54"")']"
Kanon Herrero,Sten Sanjorge Jr.,1,"['(""Roberts and Sons"", ""2014-01-17 12:29:17"", ""2014-01-17 13:29:01"", ""00:59:44"")']"
Felix Resumir,Marin Onda,3,"['(""Roberts and Sons"", ""2014-01-11 13:02:07"", ""2014-01-11 13:33:01"", ""00:30:54"")', '(""Roberts and Sons"", ""2014-01-11 13:33:47"", ""2014-01-11 14:28:01"", ""00:54:14"")', '(""Brew\'ve Been Served"", ""2014-01-06 19:35:15"", ""2014-01-06 20:12:01"", ""00:36:46"")']"
Bertrand Ovan,Kare Orilla,14,"['(""Roberts and Sons"", ""2014-01-08 12:30:12"", ""2014-01-08 13:31:52"", ""01:01:40"")', '(""Roberts and Sons"", ""2014-01-15 12:50:02"", ""2014-01-15 13:09:01"", ""00:18:59"")', '(""Roberts and Sons"", ""2014-01-15 13:09:01"", ""2014-01-15 14:00:19"", ""00:51:18"")', '(""Roberts and Sons"", ""2014-01-16 12:33:28"", ""2014-01-16 13:30:32"", ""00:57:04"")', '(""Katerina\'s Café"", ""2014-01-06 19:23:48"", ""2014-01-06 20:35:57"", ""01:12:09"")', '(""Katerina\'s Café"", ""2014-01-07 19:20:01"", ""2014-01-07 20:41:34"", ""01:21:33"")', '(""Katerina\'s Café"", ""2014-01-09 18:57:21"", ""2014-01-09 19:35:35"", ""00:38:14"")', '(""Katerina\'s Café"", ""2014-01-12 18:58:01"", ""2014-01-12 19:50:01"", ""00:52:00"")', '(""Katerina\'s Café"", ""2014-01-13 12:45:23"", ""2014-01-13 13:00:01"", ""00:14:38"")', '(""Katerina\'s Café"", ""2014-01-13 13:00:01"", ""2014-01-13 13:54:01"", ""00:54:00"")', '(""Katerina\'s Café"", ""2014-01-14 18:54:01"", ""2014-01-14 20:24:11"", ""01:30:10"")', '(""Katerina\'s Café"", ""2014-01-15 19:12:51"", ""2014-01-15 19:17:01"", ""00:04:10"")', '(""Katerina\'s Café"", ""2014-01-15 19:17:01"", ""2014-01-15 19:55:01"", ""00:38:00"")', '(""Katerina\'s Café"", ""2014-01-16 19:15:21"", ""2014-01-16 19:52:42"", ""00:37:21"")']"
Kare Orilla,Willem Vasco-Pais,3,"['(""Roberts and Sons"", ""2014-01-08 12:26:17"", ""2014-01-08 13:24:01"", ""00:57:44"")', '(""Roberts and Sons"", ""2014-01-09 12:50:16"", ""2014-01-09 12:54:01"", ""00:03:45"")', '(""Roberts and Sons"", ""2014-01-09 12:54:01"", ""2014-01-09 13:36:01"", ""00:42:00"")']"
Brand Tempestad,Kare Orilla,1,"['(""Roberts and Sons"", ""2014-01-12 13:11:45"", ""2014-01-12 13:51:01"", ""00:39:16"")']"
Felix Resumir,Kare Orilla,2,"['(""Roberts and Sons"", ""2014-01-15 12:27:26"", ""2014-01-15 14:04:01"", ""01:36:35"")', '(""Roberts and Sons"", ""2014-01-16 12:28:26"", ""2014-01-16 13:49:01"", ""01:20:35"")']"
Edvard Vann,Kare Orilla,3,"['(""Roberts and Sons"", ""2014-01-16 12:28:26"", ""2014-01-16 13:40:01"", ""01:11:35"")', '(""Katerina\'s Café"", ""2014-01-19 13:02:20"", ""2014-01-19 13:10:01"", ""00:07:41"")', '(""Katerina\'s Café"", ""2014-01-19 13:10:01"", ""2014-01-19 13:26:01"", ""00:16:00"")']"
Bertrand Ovan,Felix Resumir,36,"['(""Roberts and Sons"", ""2014-01-15 12:50:02"", ""2014-01-15 13:09:01"", ""00:18:59"")', '(""Roberts and Sons"", ""2014-01-15 13:09:01"", ""2014-01-15 14:00:19"", ""00:51:18"")', '(""Roberts and Sons"", ""2014-01-16 12:33:28"", ""2014-01-16 13:30:32"", ""00:57:04"")', '(""Brew\'ve Been Served"", ""2014-01-09 12:46:45"", ""2014-01-09 13:59:01"", ""01:12:16"")', '(""Brew\'ve Been Served"", ""2014-01-11 18:53:10"", ""2014-01-11 20:24:55"", ""01:31:45"")', '(""Guy\'s Gyros"", ""2014-01-06 17:27:23"", ""2014-01-06 19:21:47"", ""01:54:24"")', '(""Guy\'s Gyros"", ""2014-01-06 20:37:58"", ""2014-01-07 07:30:26"", ""10:52:28"")', '(""Guy\'s Gyros"", ""2014-01-07 17:24:33"", ""2014-01-07 18:37:01"", ""01:12:28"")', '(""Guy\'s Gyros"", ""2014-01-07 20:43:35"", ""2014-01-08 07:36:34"", ""10:52:59"")', '(""Guy\'s Gyros"", ""2014-01-08 17:45:16"", ""2014-01-08 19:06:57"", ""01:21:41"")', '(""Guy\'s Gyros"", ""2014-01-08 21:02:01"", ""2014-01-09 07:03:21"", ""10:01:20"")', '(""Guy\'s Gyros"", ""2014-01-09 17:38:16"", ""2014-01-09 18:26:22"", ""00:48:06"")', '(""Guy\'s Gyros"", ""2014-01-09 20:22:10"", ""2014-01-10 07:03:33"", ""10:41:23"")', '(""Guy\'s Gyros"", ""2014-01-10 17:33:16"", ""2014-01-10 18:18:10"", ""00:44:54"")', '(""Guy\'s Gyros"", ""2014-01-10 20:12:58"", ""2014-01-11 12:52:01"", ""16:39:03"")', '(""Guy\'s Gyros"", ""2014-01-11 14:37:58"", ""2014-01-11 15:22:01"", ""00:44:03"")', '(""Guy\'s Gyros"", ""2014-01-11 15:22:01"", ""2014-01-11 18:36:57"", ""03:14:56"")', '(""Guy\'s Gyros"", ""2014-01-11 20:30:10"", ""2014-01-11 22:11:01"", ""01:40:51"")', '(""Guy\'s Gyros"", ""2014-01-12 00:00:45"", ""2014-01-12 11:32:01"", ""11:31:16"")', '(""Guy\'s Gyros"", ""2014-01-12 20:16:28"", ""2014-01-13 07:05:24"", ""10:48:56"")', '(""Guy\'s Gyros"", ""2014-01-13 17:43:16"", ""2014-01-13 18:39:01"", ""00:55:45"")', '(""Guy\'s Gyros"", ""2014-01-13 21:01:01"", ""2014-01-14 07:15:56"", ""10:14:55"")', '(""Guy\'s Gyros"", ""2014-01-14 17:41:16"", ""2014-01-14 18:50:15"", ""01:08:59"")', '(""Guy\'s Gyros"", ""2014-01-14 20:54:10"", ""2014-01-15 07:31:36"", ""10:37:26"")', '(""Guy\'s Gyros"", ""2014-01-15 17:42:39"", ""2014-01-15 19:10:51"", ""01:28:12"")', '(""Guy\'s Gyros"", ""2014-01-15 21:25:59"", ""2014-01-15 21:50:01"", ""00:24:02"")', '(""Guy\'s Gyros"", ""2014-01-15 21:50:01"", ""2014-01-16 07:15:35"", ""09:25:34"")', '(""Guy\'s Gyros"", ""2014-01-16 17:44:25"", ""2014-01-16 18:46:33"", ""01:02:08"")', '(""Guy\'s Gyros"", ""2014-01-16 20:15:58"", ""2014-01-17 07:25:07"", ""11:09:09"")', '(""Guy\'s Gyros"", ""2014-01-17 17:43:16"", ""2014-01-17 19:16:01"", ""01:32:45"")', '(""Guy\'s Gyros"", ""2014-01-17 19:49:58"", ""2014-01-18 12:51:33"", ""17:01:35"")', '(""Guy\'s Gyros"", ""2014-01-18 15:47:33"", ""2014-01-18 18:43:01"", ""02:55:28"")', '(""Guy\'s Gyros"", ""2014-01-18 20:23:02"", ""2014-01-18 20:34:01"", ""00:10:59"")', '(""Guy\'s Gyros"", ""2014-01-18 20:34:01"", ""2014-01-19 13:10:01"", ""16:36:00"")', '(""Guy\'s Gyros"", ""2014-01-19 14:33:06"", ""2014-01-19 15:15:01"", ""00:41:55"")', '(""Guy\'s Gyros"", ""2014-01-19 15:15:01"", ""2014-01-19 18:25:16"", ""03:10:15"")']"
Bertrand Ovan,Edvard Vann,2,"['(""Roberts and Sons"", ""2014-01-16 12:33:28"", ""2014-01-16 13:30:32"", ""00:57:04"")', '(""Katerina\'s Café"", ""2014-01-14 12:35:34"", ""2014-01-14 13:36:01"", ""01:00:27"")']"
Felix Resumir,Orhan Strum,2,"['(""Roberts and Sons"", ""2014-01-15 12:27:26"", ""2014-01-15 13:09:01"", ""00:41:35"")', '(""Roberts and Sons"", ""2014-01-18 13:04:08"", ""2014-01-18 13:06:01"", ""00:01:53"")']"
Sten Sanjorge Jr.,Willem Vasco-Pais,2,"['(""Roberts and Sons"", ""2014-01-17 12:37:26"", ""2014-01-17 13:29:01"", ""00:51:35"")', '(""Desafio Golf Course"", ""2014-01-19 13:19:28"", ""2014-01-19 15:50:01"", ""02:30:33"")']"
Brand Tempestad,Nils Calixto,1,"['(""White Building"", ""2014-01-10 19:30:02"", ""2014-01-10 23:32:01"", ""04:01:59"")']"
Lars Azada,Lucas Alcazar,2,"['(""White Building"", ""2014-01-10 19:52:13"", ""2014-01-10 23:45:01"", ""03:52:48"")', '(""Brew\'ve Been Served"", ""2014-01-09 12:21:42"", ""2014-01-09 13:35:01"", ""01:13:19"")']"
Lars Azada,Lidelse Dedos,3,"['(""White Building"", ""2014-01-10 19:52:13"", ""2014-01-10 23:30:01"", ""03:37:48"")', '(""Brew\'ve Been Served"", ""2014-01-14 12:08:42"", ""2014-01-14 13:39:01"", ""01:30:19"")', '(""Bean There Done That"", ""2014-01-13 07:43:22"", ""2014-01-13 07:52:01"", ""00:08:39"")']"
Kanon Herrero,Lars Azada,2,"['(""White Building"", ""2014-01-10 19:52:13"", ""2014-01-10 23:33:01"", ""03:40:48"")', '(""Brew\'ve Been Served"", ""2014-01-15 12:21:42"", ""2014-01-15 13:28:01"", ""01:06:19"")']"
Felix Balas,Isak Baza,2,"['(""White Building"", ""2014-01-10 19:02:25"", ""2014-01-10 19:03:01"", ""00:00:36"")', '(""White Building"", ""2014-01-10 19:03:45"", ""2014-01-10 23:21:01"", ""04:17:16"")']"
Isak Baza,Lucas Alcazar,2,"['(""White Building"", ""2014-01-10 19:12:50"", ""2014-01-10 23:21:01"", ""04:08:11"")', '(""Katerina\'s Café"", ""2014-01-13 12:28:23"", ""2014-01-13 13:37:01"", ""01:08:38"")']"
Isak Baza,Vira Frente,3,"['(""White Building"", ""2014-01-10 19:08:14"", ""2014-01-10 19:39:01"", ""00:30:47"")', '(""White Building"", ""2014-01-10 20:18:01"", ""2014-01-10 23:21:01"", ""03:03:00"")', '(""Katerina\'s Café"", ""2014-01-08 12:16:23"", ""2014-01-08 13:33:01"", ""01:16:38"")']"
Gustav Cazar,Linnea Bergen,2,"['(""White Building"", ""2014-01-10 19:12:00"", ""2014-01-10 22:20:01"", ""03:08:01"")', '(""Katerina\'s Café"", ""2014-01-09 12:30:23"", ""2014-01-09 13:09:01"", ""00:38:38"")']"
Linnea Bergen,Vira Frente,2,"['(""White Building"", ""2014-01-10 19:08:14"", ""2014-01-10 19:39:01"", ""00:30:47"")', '(""White Building"", ""2014-01-10 20:18:01"", ""2014-01-10 22:20:01"", ""02:02:00"")']"
Kanon Herrero,Linnea Bergen,44,"['(""White Building"", ""2014-01-10 19:04:01"", ""2014-01-10 22:20:01"", ""03:16:00"")', '(""Katerina\'s Café"", ""2014-01-07 19:38:01"", ""2014-01-07 19:50:01"", ""00:12:00"")', '(""Katerina\'s Café"", ""2014-01-07 19:50:01"", ""2014-01-07 20:13:01"", ""00:23:00"")', '(""Katerina\'s Café"", ""2014-01-08 19:47:02"", ""2014-01-08 20:31:01"", ""00:43:59"")', '(""Katerina\'s Café"", ""2014-01-11 18:38:02"", ""2014-01-11 19:20:01"", ""00:41:59"")', '(""Katerina\'s Café"", ""2014-01-12 18:37:02"", ""2014-01-12 19:26:01"", ""00:48:59"")', '(""Katerina\'s Café"", ""2014-01-13 19:31:02"", ""2014-01-13 20:25:01"", ""00:53:59"")', '(""Katerina\'s Café"", ""2014-01-15 19:12:02"", ""2014-01-15 20:07:01"", ""00:54:59"")', '(""Katerina\'s Café"", ""2014-01-16 19:16:02"", ""2014-01-16 20:38:01"", ""01:21:59"")', '(""Katerina\'s Café"", ""2014-01-17 19:49:59"", ""2014-01-17 19:57:01"", ""00:07:02"")', '(""Katerina\'s Café"", ""2014-01-17 19:57:01"", ""2014-01-17 20:23:01"", ""00:26:00"")', '(""Coffee Chameleon"", ""2014-01-06 07:45:42"", ""2014-01-06 07:51:01"", ""00:05:19"")', '(""Coffee Chameleon"", ""2014-01-07 07:50:42"", ""2014-01-07 07:57:01"", ""00:06:19"")', '(""Coffee Chameleon"", ""2014-01-08 07:49:42"", ""2014-01-08 07:57:01"", ""00:07:19"")', '(""Coffee Chameleon"", ""2014-01-09 07:43:42"", ""2014-01-09 07:44:01"", ""00:00:19"")', '(""Coffee Chameleon"", ""2014-01-13 07:55:42"", ""2014-01-13 08:03:01"", ""00:07:19"")', '(""Coffee Chameleon"", ""2014-01-14 07:41:42"", ""2014-01-14 07:56:01"", ""00:14:19"")', '(""Coffee Chameleon"", ""2014-01-15 07:32:42"", ""2014-01-15 07:54:01"", ""00:21:19"")', '(""Coffee Chameleon"", ""2014-01-17 07:33:42"", ""2014-01-17 07:53:01"", ""00:19:19"")', '(""Guy\'s Gyros"", ""2014-01-06 17:43:42"", ""2014-01-06 18:45:01"", ""01:01:19"")', '(""Guy\'s Gyros"", ""2014-01-06 21:26:03"", ""2014-01-06 21:33:01"", ""00:06:58"")', '(""Guy\'s Gyros"", ""2014-01-06 21:33:01"", ""2014-01-07 07:17:01"", ""09:44:00"")', '(""Guy\'s Gyros"", ""2014-01-07 17:49:42"", ""2014-01-07 19:20:01"", ""01:30:19"")', '(""Guy\'s Gyros"", ""2014-01-07 20:16:02"", ""2014-01-08 07:24:01"", ""11:07:59"")', '(""Guy\'s Gyros"", ""2014-01-08 17:56:42"", ""2014-01-08 18:45:01"", ""00:48:19"")', '(""Guy\'s Gyros"", ""2014-01-08 21:17:02"", ""2014-01-09 07:07:01"", ""09:49:59"")', '(""Guy\'s Gyros"", ""2014-01-09 17:32:42"", ""2014-01-09 19:05:01"", ""01:32:19"")', '(""Guy\'s Gyros"", ""2014-01-09 20:34:53"", ""2014-01-10 07:06:01"", ""10:31:08"")', '(""Guy\'s Gyros"", ""2014-01-10 17:45:42"", ""2014-01-10 18:40:01"", ""00:54:19"")', '(""Guy\'s Gyros"", ""2014-01-10 23:44:01"", ""2014-01-11 12:32:01"", ""12:48:00"")', '(""Guy\'s Gyros"", ""2014-01-11 14:22:02"", ""2014-01-11 18:20:01"", ""03:57:59"")', '(""Guy\'s Gyros"", ""2014-01-11 19:35:02"", ""2014-01-12 12:54:01"", ""17:18:59"")', '(""Guy\'s Gyros"", ""2014-01-12 16:05:01"", ""2014-01-12 18:15:01"", ""02:10:00"")', '(""Guy\'s Gyros"", ""2014-01-12 20:21:02"", ""2014-01-13 07:51:01"", ""11:29:59"")', '(""Guy\'s Gyros"", ""2014-01-13 17:54:42"", ""2014-01-13 19:14:01"", ""01:19:19"")', '(""Guy\'s Gyros"", ""2014-01-13 20:51:02"", ""2014-01-14 07:21:01"", ""10:29:59"")', '(""Guy\'s Gyros"", ""2014-01-14 17:59:01"", ""2014-01-15 07:07:01"", ""13:08:00"")', '(""Guy\'s Gyros"", ""2014-01-15 17:45:42"", ""2014-01-15 18:52:01"", ""01:06:19"")', '(""Guy\'s Gyros"", ""2014-01-15 21:10:01"", ""2014-01-16 07:08:01"", ""09:58:00"")', '(""Guy\'s Gyros"", ""2014-01-16 17:47:42"", ""2014-01-16 19:13:01"", ""01:25:19"")', '(""Guy\'s Gyros"", ""2014-01-16 21:02:02"", ""2014-01-17 07:20:01"", ""10:17:59"")', '(""Guy\'s Gyros"", ""2014-01-17 17:46:42"", ""2014-01-17 19:36:01"", ""01:49:19"")', '(""Guy\'s Gyros"", ""2014-01-17 21:07:01"", ""2014-01-17 21:11:01"", ""00:04:00"")', '(""Guy\'s Gyros"", ""2014-01-17 21:11:01"", ""2014-01-18 12:20:01"", ""15:09:00"")']"
Brand Tempestad,Linnea Bergen,23,"['(""White Building"", ""2014-01-10 19:30:02"", ""2014-01-10 22:20:01"", ""02:49:59"")', '(""Guy\'s Gyros"", ""2014-01-06 17:37:38"", ""2014-01-06 18:45:01"", ""01:07:23"")', '(""Guy\'s Gyros"", ""2014-01-06 20:16:02"", ""2014-01-07 07:17:01"", ""11:00:59"")', '(""Guy\'s Gyros"", ""2014-01-07 17:49:42"", ""2014-01-07 18:47:01"", ""00:57:19"")', '(""Guy\'s Gyros"", ""2014-01-07 20:21:23"", ""2014-01-08 07:24:01"", ""11:02:38"")', '(""Guy\'s Gyros"", ""2014-01-08 17:56:42"", ""2014-01-08 19:10:01"", ""01:13:19"")', '(""Guy\'s Gyros"", ""2014-01-08 21:17:02"", ""2014-01-09 07:05:01"", ""09:47:59"")', '(""Guy\'s Gyros"", ""2014-01-09 17:44:38"", ""2014-01-09 19:05:01"", ""01:20:23"")', '(""Guy\'s Gyros"", ""2014-01-09 20:34:53"", ""2014-01-10 07:06:01"", ""10:31:08"")', '(""Guy\'s Gyros"", ""2014-01-10 17:45:42"", ""2014-01-10 18:40:01"", ""00:54:19"")', '(""Guy\'s Gyros"", ""2014-01-10 23:47:02"", ""2014-01-11 12:32:01"", ""12:44:59"")', '(""Guy\'s Gyros"", ""2014-01-11 19:40:00"", ""2014-01-12 12:32:01"", ""16:52:01"")', '(""Guy\'s Gyros"", ""2014-01-12 14:00:36"", ""2014-01-12 18:15:01"", ""04:14:25"")', '(""Guy\'s Gyros"", ""2014-01-12 19:28:02"", ""2014-01-13 07:15:01"", ""11:46:59"")', '(""Guy\'s Gyros"", ""2014-01-13 17:54:42"", ""2014-01-13 19:14:01"", ""01:19:19"")', '(""Guy\'s Gyros"", ""2014-01-13 20:51:02"", ""2014-01-14 07:21:01"", ""10:29:59"")', '(""Guy\'s Gyros"", ""2014-01-14 17:59:01"", ""2014-01-15 07:20:01"", ""13:21:00"")', '(""Guy\'s Gyros"", ""2014-01-15 17:45:42"", ""2014-01-15 19:07:01"", ""01:21:19"")', '(""Guy\'s Gyros"", ""2014-01-15 21:10:01"", ""2014-01-16 07:08:01"", ""09:58:00"")', '(""Guy\'s Gyros"", ""2014-01-16 17:38:42"", ""2014-01-16 18:48:01"", ""01:09:19"")', '(""Guy\'s Gyros"", ""2014-01-16 21:02:02"", ""2014-01-17 07:31:01"", ""10:28:59"")', '(""Guy\'s Gyros"", ""2014-01-17 17:46:42"", ""2014-01-17 19:31:01"", ""01:44:19"")', '(""Guy\'s Gyros"", ""2014-01-17 21:05:01"", ""2014-01-18 12:20:01"", ""15:15:00"")']"
Elsa Orilla,Lidelse Dedos,6,"['(""White Building"", ""2014-01-10 18:59:30"", ""2014-01-10 19:12:01"", ""00:12:31"")', '(""White Building"", ""2014-01-10 19:12:54"", ""2014-01-10 22:43:01"", ""03:30:07"")', '(""White Building"", ""2014-01-10 22:43:53"", ""2014-01-10 23:00:01"", ""00:16:08"")', '(""White Building"", ""2014-01-10 23:00:01"", ""2014-01-10 23:30:01"", ""00:30:00"")', '(""Brew\'ve Been Served"", ""2014-01-15 19:03:02"", ""2014-01-15 19:53:01"", ""00:49:59"")', '(""Katerina\'s Café"", ""2014-01-11 18:54:05"", ""2014-01-11 19:45:01"", ""00:50:56"")']"
Elsa Orilla,Kanon Herrero,6,"['(""White Building"", ""2014-01-10 19:04:01"", ""2014-01-10 19:12:01"", ""00:08:00"")', '(""White Building"", ""2014-01-10 19:12:54"", ""2014-01-10 22:43:01"", ""03:30:07"")', '(""White Building"", ""2014-01-10 22:43:53"", ""2014-01-10 23:00:01"", ""00:16:08"")', '(""White Building"", ""2014-01-10 23:00:01"", ""2014-01-10 23:33:01"", ""00:33:00"")', '(""Brew\'ve Been Served"", ""2014-01-13 12:24:42"", ""2014-01-13 13:35:01"", ""01:10:19"")', '(""Katerina\'s Café"", ""2014-01-11 18:38:02"", ""2014-01-11 19:33:01"", ""00:54:59"")']"
Elsa Orilla,Lucas Alcazar,5,"['(""White Building"", ""2014-01-10 19:12:54"", ""2014-01-10 22:43:01"", ""03:30:07"")', '(""White Building"", ""2014-01-10 22:43:53"", ""2014-01-10 23:00:01"", ""00:16:08"")', '(""White Building"", ""2014-01-10 23:00:01"", ""2014-01-10 23:45:01"", ""00:45:00"")', '(""Katerina\'s Café"", ""2014-01-11 18:57:39"", ""2014-01-11 19:12:01"", ""00:14:22"")', '(""Katerina\'s Café"", ""2014-01-11 19:12:01"", ""2014-01-11 19:45:01"", ""00:33:00"")']"
Axel Calzas,Lucas Alcazar,3,"['(""White Building"", ""2014-01-10 19:12:50"", ""2014-01-10 23:23:01"", ""04:10:11"")', '(""White Building"", ""2014-01-10 23:23:31"", ""2014-01-10 23:45:01"", ""00:21:30"")', '(""Brew\'ve Been Served"", ""2014-01-09 19:19:01"", ""2014-01-09 20:28:01"", ""01:09:00"")']"
Brand Tempestad,Lucas Alcazar,1,"['(""White Building"", ""2014-01-10 19:30:02"", ""2014-01-10 23:37:01"", ""04:06:59"")']"
Gustav Cazar,Lidelse Dedos,2,"['(""White Building"", ""2014-01-10 19:12:00"", ""2014-01-10 23:30:01"", ""04:18:01"")', '(""Brew\'ve Been Served"", ""2014-01-18 13:33:48"", ""2014-01-18 15:36:01"", ""02:02:13"")']"
Axel Calzas,Lidelse Dedos,3,"['(""White Building"", ""2014-01-10 18:59:30"", ""2014-01-10 23:23:01"", ""04:23:31"")', '(""White Building"", ""2014-01-10 23:23:31"", ""2014-01-10 23:30:01"", ""00:06:30"")', '(""Bean There Done That"", ""2014-01-13 07:45:32"", ""2014-01-13 07:52:01"", ""00:06:29"")']"
Brand Tempestad,Lidelse Dedos,29,"['(""White Building"", ""2014-01-10 19:30:02"", ""2014-01-10 23:30:01"", ""03:59:59"")', '(""Brew\'ve Been Served"", ""2014-01-15 19:09:35"", ""2014-01-15 20:08:01"", ""00:58:26"")', '(""Brew\'ve Been Served"", ""2014-01-16 19:04:08"", ""2014-01-16 19:46:01"", ""00:41:53"")', '(""Guy\'s Gyros"", ""2014-01-06 17:37:39"", ""2014-01-06 19:01:01"", ""01:23:22"")', '(""Guy\'s Gyros"", ""2014-01-06 20:18:01"", ""2014-01-07 07:01:01"", ""10:43:00"")', '(""Guy\'s Gyros"", ""2014-01-07 17:45:39"", ""2014-01-07 18:47:01"", ""01:01:22"")', '(""Guy\'s Gyros"", ""2014-01-07 20:21:23"", ""2014-01-08 07:12:01"", ""10:50:38"")', '(""Guy\'s Gyros"", ""2014-01-08 17:48:39"", ""2014-01-08 19:10:01"", ""01:21:22"")', '(""Guy\'s Gyros"", ""2014-01-08 21:22:01"", ""2014-01-09 07:05:01"", ""09:43:00"")', '(""Guy\'s Gyros"", ""2014-01-09 17:44:38"", ""2014-01-10 07:08:01"", ""13:23:23"")', '(""Guy\'s Gyros"", ""2014-01-10 17:54:39"", ""2014-01-10 18:50:01"", ""00:55:22"")', '(""Guy\'s Gyros"", ""2014-01-10 23:47:02"", ""2014-01-11 12:32:01"", ""12:44:59"")', '(""Guy\'s Gyros"", ""2014-01-11 20:57:00"", ""2014-01-12 11:32:01"", ""14:35:01"")', '(""Guy\'s Gyros"", ""2014-01-12 11:32:01"", ""2014-01-12 12:30:01"", ""00:58:00"")', '(""Guy\'s Gyros"", ""2014-01-12 14:15:28"", ""2014-01-12 18:24:01"", ""04:08:33"")', '(""Guy\'s Gyros"", ""2014-01-12 20:56:03"", ""2014-01-12 23:21:01"", ""02:24:58"")', '(""Guy\'s Gyros"", ""2014-01-12 23:21:01"", ""2014-01-13 07:05:01"", ""07:44:00"")', '(""Guy\'s Gyros"", ""2014-01-13 17:53:39"", ""2014-01-13 19:00:01"", ""01:06:22"")', '(""Guy\'s Gyros"", ""2014-01-13 21:09:01"", ""2014-01-14 07:24:01"", ""10:15:00"")', '(""Guy\'s Gyros"", ""2014-01-14 17:46:39"", ""2014-01-14 19:14:01"", ""01:27:22"")', '(""Guy\'s Gyros"", ""2014-01-14 20:36:01"", ""2014-01-15 07:20:01"", ""10:44:00"")', '(""Guy\'s Gyros"", ""2014-01-15 17:53:39"", ""2014-01-15 18:49:01"", ""00:55:22"")', '(""Guy\'s Gyros"", ""2014-01-15 20:40:08"", ""2014-01-16 07:13:01"", ""10:32:53"")', '(""Guy\'s Gyros"", ""2014-01-16 17:43:39"", ""2014-01-16 18:48:01"", ""01:04:22"")', '(""Guy\'s Gyros"", ""2014-01-16 20:17:23"", ""2014-01-17 07:28:01"", ""11:10:38"")', '(""Guy\'s Gyros"", ""2014-01-17 17:46:38"", ""2014-01-17 19:31:01"", ""01:44:23"")', '(""Guy\'s Gyros"", ""2014-01-17 21:05:01"", ""2014-01-18 12:38:01"", ""15:33:00"")', '(""Guy\'s Gyros"", ""2014-01-18 15:39:45"", ""2014-01-18 18:21:01"", ""02:41:16"")', '(""Guy\'s Gyros"", ""2014-01-18 19:40:05"", ""2014-01-19 17:50:01"", ""22:09:56"")']"
Birgitta Frente,Vira Frente,3,"['(""White Building"", ""2014-01-10 19:12:30"", ""2014-01-10 19:39:01"", ""00:26:31"")', '(""White Building"", ""2014-01-10 20:18:01"", ""2014-01-10 22:29:01"", ""02:11:00"")', '(""Bean There Done That"", ""2014-01-13 07:22:06"", ""2014-01-13 07:38:01"", ""00:15:55"")']"
