Person 1,Person 2,Meeting Times,Meeting Information
Gustav Cazar,Lars Azada,9,"[(""Albert's Fine Clothing"", '2014-01-18 18:23:01', '2014-01-18 18:23:13'), ('White Building', '2014-01-06 17:18:01', '2014-01-06 17:27:28'), ('White Building', '2014-01-08 17:10:00', '2014-01-08 17:17:28'), ('White Building', '2014-01-09 17:23:01', '2014-01-09 17:29:28'), ('White Building', '2014-01-13 17:26:01', '2014-01-13 17:28:28'), ('White Building', '2014-01-14 17:21:01', '2014-01-14 17:30:57'), ('White Building', '2014-01-16 17:20:01', '2014-01-16 17:29:57'), ('White Building', '2014-01-17 17:12:01', '2014-01-17 17:22:28'), ('White Building', '2014-01-19 20:25:01', '2014-01-19 20:25:10')]"
Gustav Cazar,Lidelse Dedos,1,"[(""Brew've Been Served"", '2014-01-18 13:31:01', '2014-01-18 13:31:14')]"
Gustav Cazar,Lucas Alcazar,1,"[('White Building', '2014-01-10 19:11:01', '2014-01-10 19:12:00')]"
Gustav Cazar,Marin Onda,1,"[('Ouzeri Elian', '2014-01-13 12:13:01', '2014-01-13 12:14:05')]"
Gustav Cazar,Minke Mies,1,"[(""Albert's Fine Clothing"", '2014-01-15 12:24:01', '2014-01-15 12:26:27')]"
Gustav Cazar,Nils Calixto,5,"[(""Albert's Fine Clothing"", '2014-01-06 12:17:01', '2014-01-06 12:17:27'), ('Ouzeri Elian', '2014-01-10 12:21:01', '2014-01-10 12:22:05'), ('Ouzeri Elian', '2014-01-16 18:54:01', '2014-01-16 18:58:52'), ('White Building', '2014-01-10 19:11:01', '2014-01-10 19:12:00'), ('Hallowed Grounds', '2014-01-18 15:58:01', '2014-01-18 15:59:59')]"
Gustav Cazar,Orhan Strum,1,"[(""Albert's Fine Clothing"", '2014-01-06 12:12:01', '2014-01-06 12:17:27')]"
Gustav Cazar,Stenig Fusil,1,"[(""Brew've Been Served"", '2014-01-16 12:18:01', '2014-01-16 12:20:42')]"
Gustav Cazar,Sven Flecha,1,"[('General Grocer', '2014-01-14 12:23:01', '2014-01-14 12:29:16')]"
Gustav Cazar,Vira Frente,1,"[(""Albert's Fine Clothing"", '2014-01-18 18:22:01', '2014-01-18 18:23:13')]"
Gustav Cazar,Willem Vasco-Pais,2,"[(""Albert's Fine Clothing"", '2014-01-18 18:22:01', '2014-01-18 18:23:13'), (""Brew've Been Served"", '2014-01-18 13:30:01', '2014-01-18 13:33:48')]"
Hennie Osvaldo,Ada Campo-Corrente,1,"[('General Grocer', '2014-01-07 12:11:01', '2014-01-07 12:16:16')]"
Hennie Osvaldo,Adra Nubarron,4,"[(""Katerina's Café"", '2014-01-10 07:24:01', '2014-01-10 07:25:23'), (""Guy's Gyros"", '2014-01-11 20:19:01', '2014-01-11 20:19:08'), (""Guy's Gyros"", '2014-01-18 20:08:01', '2014-01-18 20:11:05'), (""Guy's Gyros"", '2014-01-19 19:46:01', '2014-01-19 19:46:54')]"
Hennie Osvaldo,Axel Calzas,1,"[('Roberts and Sons', '2014-01-14 12:15:01', '2014-01-14 12:20:17')]"
Hennie Osvaldo,Bertrand Ovan,4,"[(""Guy's Gyros"", '2014-01-07 17:23:01', '2014-01-07 17:24:33'), (""Guy's Gyros"", '2014-01-08 17:25:38', '2014-01-08 17:27:39'), (""Guy's Gyros"", '2014-01-12 20:14:27', '2014-01-12 20:16:28'), (""Guy's Gyros"", '2014-01-14 17:36:35', '2014-01-14 17:38:39')]"
Hennie Osvaldo,Birgitta Frente,4,"[('Ouzeri Elian', '2014-01-10 12:18:01', '2014-01-10 12:18:55'), (""Guy's Gyros"", '2014-01-08 17:22:01', '2014-01-08 17:23:39'), (""Guy's Gyros"", '2014-01-09 17:46:01', '2014-01-09 17:47:39'), (""Guy's Gyros"", '2014-01-13 17:35:01', '2014-01-13 17:40:39')]"
Hennie Osvaldo,Brand Tempestad,8,"[(""Katerina's Café"", '2014-01-06 07:26:01', '2014-01-06 07:26:36'), (""Katerina's Café"", '2014-01-07 07:44:01', '2014-01-07 07:45:53'), (""Katerina's Café"", '2014-01-08 07:35:01', '2014-01-08 07:37:36'), (""Katerina's Café"", '2014-01-15 07:23:01', '2014-01-15 07:24:53'), (""Guy's Gyros"", '2014-01-07 17:23:01', '2014-01-07 17:24:38'), (""Guy's Gyros"", '2014-01-08 17:22:01', '2014-01-08 17:27:38'), (""Guy's Gyros"", '2014-01-09 17:42:01', '2014-01-09 17:44:38'), (""Guy's Gyros"", '2014-01-17 17:41:01', '2014-01-17 17:43:39')]"
Hennie Osvaldo,Edvard Vann,3,"[(""Katerina's Café"", '2014-01-10 07:24:01', '2014-01-10 07:26:36'), (""Katerina's Café"", '2014-01-14 07:11:01', '2014-01-14 07:12:48'), (""Katerina's Café"", '2014-01-17 07:49:01', '2014-01-17 07:49:48')]"
Hennie Osvaldo,Elsa Orilla,1,"[(""Albert's Fine Clothing"", '2014-01-15 12:25:01', '2014-01-15 12:25:27')]"
Hennie Osvaldo,Felix Resumir,5,"[(""Guy's Gyros"", '2014-01-07 17:23:01', '2014-01-07 17:24:16'), (""Guy's Gyros"", '2014-01-10 17:29:01', '2014-01-10 17:31:39'), (""Guy's Gyros"", '2014-01-13 17:39:01', '2014-01-13 17:40:39'), (""Guy's Gyros"", '2014-01-14 17:33:01', '2014-01-14 17:34:16'), (""Guy's Gyros"", '2014-01-17 17:39:01', '2014-01-17 17:43:16')]"
Hennie Osvaldo,Gustav Cazar,1,"[(""Albert's Fine Clothing"", '2014-01-15 12:25:01', '2014-01-15 12:26:27')]"
Hennie Osvaldo,Hideki Cocinaro,2,"[('Roberts and Sons', '2014-01-06 12:28:01', '2014-01-06 12:31:17'), ('Roberts and Sons', '2014-01-17 12:34:01', '2014-01-17 12:35:26')]"
Hennie Osvaldo,Inga Ferro,3,"[(""Katerina's Café"", '2014-01-18 18:35:01', '2014-01-18 18:36:45'), (""Guy's Gyros"", '2014-01-10 11:23:01', '2014-01-10 11:26:58'), (""Frydos Autosupply n' More"", '2014-01-16 20:31:01', '2014-01-16 20:32:45')]"
Hennie Osvaldo,Isande Borrasca,1,"[(""Guy's Gyros"", '2014-01-18 20:08:01', '2014-01-18 20:11:05')]"
Hennie Osvaldo,Isia Vann,2,"[(""Katerina's Café"", '2014-01-14 07:11:01', '2014-01-14 07:12:36'), (""Katerina's Café"", '2014-01-15 07:23:01', '2014-01-15 07:25:36')]"
Hennie Osvaldo,Kanon Herrero,6,"[(""Katerina's Café"", '2014-01-13 19:29:01', '2014-01-13 19:31:02'), (""Guy's Gyros"", '2014-01-06 17:43:01', '2014-01-06 17:43:42'), (""Guy's Gyros"", '2014-01-10 17:26:01', '2014-01-10 17:26:42'), (""Guy's Gyros"", '2014-01-15 17:30:01', '2014-01-15 17:30:42'), (""Guy's Gyros"", '2014-01-16 17:45:01', '2014-01-16 17:47:42'), (""Guy's Gyros"", '2014-01-17 17:42:01', '2014-01-17 17:43:39')]"
Hennie Osvaldo,Kare Orilla,1,"[(""Katerina's Café"", '2014-01-11 18:46:01', '2014-01-11 18:47:06')]"
Hennie Osvaldo,Lidelse Dedos,3,"[('General Grocer', '2014-01-07 12:12:01', '2014-01-07 12:17:16'), ('General Grocer', '2014-01-16 12:19:01', '2014-01-16 12:23:16'), (""Guy's Gyros"", '2014-01-17 17:40:01', '2014-01-17 17:43:39')]"
Hennie Osvaldo,Linnea Bergen,1,"[(""Guy's Gyros"", '2014-01-17 17:42:01', '2014-01-17 17:43:39')]"
Hennie Osvaldo,Loreto Bodrogi,2,"[(""Katerina's Café"", '2014-01-10 07:24:01', '2014-01-10 07:25:36'), ('Ouzeri Elian', '2014-01-10 12:12:01', '2014-01-10 12:12:05')]"
Hennie Osvaldo,Lucas Alcazar,5,"[(""Katerina's Café"", '2014-01-07 19:05:01', '2014-01-07 19:05:40'), (""Katerina's Café"", '2014-01-12 18:46:01', '2014-01-12 18:47:40'), (""Katerina's Café"", '2014-01-16 18:43:01', '2014-01-16 18:46:05'), (""Katerina's Café"", '2014-01-17 19:16:01', '2014-01-17 19:17:05'), ('Hallowed Grounds', '2014-01-09 07:43:01', '2014-01-09 07:44:14')]"
Hennie Osvaldo,Marin Onda,3,"[(""Katerina's Café"", '2014-01-13 19:28:01', '2014-01-13 19:29:04'), ('Roberts and Sons', '2014-01-14 12:20:01', '2014-01-14 12:20:17'), ('Hallowed Grounds', '2014-01-13 07:14:01', '2014-01-13 07:14:46')]"
Hennie Osvaldo,Minke Mies,9,"[(""Albert's Fine Clothing"", '2014-01-15 12:25:01', '2014-01-15 12:33:03'), ('Roberts and Sons', '2014-01-06 12:24:01', '2014-01-06 12:31:17'), ('Roberts and Sons', '2014-01-14 12:17:01', '2014-01-14 12:20:17'), (""Guy's Gyros"", '2014-01-06 17:43:01', '2014-01-06 17:44:38'), (""Guy's Gyros"", '2014-01-09 17:42:01', '2014-01-09 17:45:38'), (""Guy's Gyros"", '2014-01-15 17:34:01', '2014-01-15 17:35:39'), (""Guy's Gyros"", '2014-01-16 17:47:01', '2014-01-16 17:50:39'), (""Guy's Gyros"", '2014-01-17 17:42:01', '2014-01-17 17:43:39'), (""Frank's Fuel"", '2014-01-16 11:15:01', '2014-01-16 11:22:02')]"
Hennie Osvaldo,Nils Calixto,3,"[('General Grocer', '2014-01-07 12:11:01', '2014-01-07 12:15:16'), ('Roberts and Sons', '2014-01-14 12:12:01', '2014-01-14 12:15:26'), ('Hallowed Grounds', '2014-01-16 07:48:01', '2014-01-16 07:50:04')]"
Hennie Osvaldo,Stenig Fusil,3,"[(""Katerina's Café"", '2014-01-14 07:11:01', '2014-01-14 07:13:36'), (""Katerina's Café"", '2014-01-15 07:23:01', '2014-01-15 07:25:36'), ('Roberts and Sons', '2014-01-14 12:17:01', '2014-01-14 12:20:17')]"
Hennie Osvaldo,Sven Flecha,2,"[(""Guy's Gyros"", '2014-01-14 17:34:01', '2014-01-14 17:38:39'), (""Guy's Gyros"", '2014-01-17 17:38:01', '2014-01-17 17:38:38')]"
Hennie Osvaldo,Varja Lagos,6,"[(""Katerina's Café"", '2014-01-07 07:45:01', '2014-01-07 07:46:36'), (""Katerina's Café"", '2014-01-08 07:35:01', '2014-01-08 07:36:23'), ('Roberts and Sons', '2014-01-06 12:23:01', '2014-01-06 12:28:26'), (""Guy's Gyros"", '2014-01-07 17:28:01', '2014-01-07 17:28:39'), (""Guy's Gyros"", '2014-01-10 17:30:01', '2014-01-10 17:31:39'), (""Guy's Gyros"", '2014-01-19 19:46:01', '2014-01-19 19:46:53')]"
Hennie Osvaldo,Willem Vasco-Pais,1,"[('Roberts and Sons', '2014-01-17 12:34:01', '2014-01-17 12:37:26')]"
Hideki Cocinaro,Adra Nubarron,1,"[('Roberts and Sons', '2014-01-11 18:25:01', '2014-01-11 18:34:08')]"
Hideki Cocinaro,Bertrand Ovan,1,"[('Roberts and Sons', '2014-01-16 12:25:12', '2014-01-16 12:25:17')]"
Hideki Cocinaro,Birgitta Frente,3,"[('Hallowed Grounds', '2014-01-06 07:11:01', '2014-01-06 07:11:16'), ('Hallowed Grounds', '2014-01-10 07:29:01', '2014-01-10 07:32:46'), ('Hallowed Grounds', '2014-01-16 07:26:01', '2014-01-16 07:27:46')]"
Hideki Cocinaro,Edvard Vann,6,"[('Roberts and Sons', '2014-01-07 12:07:01', '2014-01-07 12:15:26'), ('Sannan Park', '2014-01-06 17:14:01', '2014-01-06 17:18:41'), ('Sannan Park', '2014-01-08 17:32:01', '2014-01-08 17:34:41'), ('Sannan Park', '2014-01-09 17:19:01', '2014-01-09 17:20:41'), ('Sannan Park', '2014-01-14 20:05:01', '2014-01-14 20:05:19'), ('Sannan Park', '2014-01-15 17:33:01', '2014-01-15 17:38:46')]"
Hideki Cocinaro,Felix Balas,1,"[('Roberts and Sons', '2014-01-16 12:17:01', '2014-01-16 12:21:26')]"
Hideki Cocinaro,Felix Resumir,2,"[('Roberts and Sons', '2014-01-11 13:01:01', '2014-01-11 13:02:07'), ('Roberts and Sons', '2014-01-16 12:17:01', '2014-01-16 12:22:17')]"
Hideki Cocinaro,Hennie Osvaldo,2,"[('Roberts and Sons', '2014-01-06 12:28:01', '2014-01-06 12:31:17'), ('Roberts and Sons', '2014-01-17 12:34:01', '2014-01-17 12:35:26')]"
Hideki Cocinaro,Inga Ferro,1,"[('Roberts and Sons', '2014-01-11 18:28:01', '2014-01-11 18:35:05')]"
Hideki Cocinaro,Ingrid Barranco,3,"[(""Katerina's Café"", '2014-01-10 12:24:01', '2014-01-10 12:25:23'), ('Roberts and Sons', '2014-01-06 12:34:01', '2014-01-06 12:36:17'), ('Roberts and Sons', '2014-01-07 12:09:01', '2014-01-07 12:15:26')]"
Hideki Cocinaro,Isak Baza,3,"[(""Katerina's Café"", '2014-01-08 12:14:01', '2014-01-08 12:16:23'), ('Ouzeri Elian', '2014-01-14 12:05:01', '2014-01-14 12:06:05'), ('Roberts and Sons', '2014-01-07 12:08:01', '2014-01-07 12:15:26')]"
Hideki Cocinaro,Kanon Herrero,1,"[('Roberts and Sons', '2014-01-17 12:27:01', '2014-01-17 12:29:17')]"
Hideki Cocinaro,Kare Orilla,1,"[('Roberts and Sons', '2014-01-16 12:20:01', '2014-01-16 12:25:17')]"
Hideki Cocinaro,Lars Azada,1,"[('Roberts and Sons', '2014-01-07 12:07:01', '2014-01-07 12:13:17')]"
Hideki Cocinaro,Lidelse Dedos,1,"[('Hallowed Grounds', '2014-01-08 07:12:01', '2014-01-08 07:15:46')]"
Hideki Cocinaro,Loreto Bodrogi,1,"[(""Brew've Been Served"", '2014-01-12 18:29:01', '2014-01-12 18:30:05')]"
Hideki Cocinaro,Lucas Alcazar,4,"[('Hallowed Grounds', '2014-01-07 07:14:01', '2014-01-07 07:14:16'), ('Hallowed Grounds', '2014-01-14 07:15:01', '2014-01-14 07:16:14'), ('Hallowed Grounds', '2014-01-15 07:11:01', '2014-01-15 07:11:14'), ('Hallowed Grounds', '2014-01-16 07:27:01', '2014-01-16 07:28:14')]"
Hideki Cocinaro,Marin Onda,1,"[('Hallowed Grounds', '2014-01-16 07:26:01', '2014-01-16 07:26:40')]"
Hideki Cocinaro,Minke Mies,1,"[('Roberts and Sons', '2014-01-06 12:28:01', '2014-01-06 12:32:26')]"
Hideki Cocinaro,Stenig Fusil,3,"[('Sannan Park', '2014-01-10 17:19:01', '2014-01-10 17:20:41'), ('Sannan Park', '2014-01-14 17:24:01', '2014-01-14 17:26:53'), ('Sannan Park', '2014-01-15 17:37:01', '2014-01-15 17:39:41')]"
Hideki Cocinaro,Sven Flecha,3,"[('Roberts and Sons', '2014-01-16 12:17:01', '2014-01-16 12:20:26'), (""Brew've Been Served"", '2014-01-13 18:49:01', '2014-01-13 18:49:23'), (""Brew've Been Served"", '2014-01-19 18:24:01', '2014-01-19 18:25:19')]"
Hideki Cocinaro,Varja Lagos,1,"[('Roberts and Sons', '2014-01-06 12:28:01', '2014-01-06 12:28:26')]"
Hideki Cocinaro,Willem Vasco-Pais,1,"[('Roberts and Sons', '2014-01-17 12:29:01', '2014-01-17 12:35:26')]"
Inga Ferro,Ada Campo-Corrente,1,"[('Ouzeri Elian', '2014-01-12 12:39:01', '2014-01-12 12:44:56')]"
Inga Ferro,Adra Nubarron,2,"[('Roberts and Sons', '2014-01-07 12:19:01', '2014-01-07 12:27:26'), ('Roberts and Sons', '2014-01-11 18:28:01', '2014-01-11 18:34:08')]"
Inga Ferro,Bertrand Ovan,1,"[('Ouzeri Elian', '2014-01-12 13:31:01', '2014-01-12 13:31:52')]"
Inga Ferro,Brand Tempestad,3,"[(""Katerina's Café"", '2014-01-06 07:27:01', '2014-01-06 07:29:36'), (""Katerina's Café"", '2014-01-17 07:38:01', '2014-01-17 07:40:36'), ('Roberts and Sons', '2014-01-07 12:18:01', '2014-01-07 12:25:17')]"
Inga Ferro,Edvard Vann,1,"[(""Brew've Been Served"", '2014-01-13 19:12:01', '2014-01-13 19:12:55')]"
Inga Ferro,Felix Balas,1,"[(""Albert's Fine Clothing"", '2014-01-16 18:37:01', '2014-01-16 18:39:28')]"
Inga Ferro,Felix Resumir,4,"[(""Katerina's Café"", '2014-01-07 07:37:01', '2014-01-07 07:39:23'), (""Katerina's Café"", '2014-01-09 07:46:01', '2014-01-09 07:48:23'), (""Katerina's Café"", '2014-01-17 07:40:01', '2014-01-17 07:40:36'), (""Brew've Been Served"", '2014-01-07 18:37:01', '2014-01-07 18:37:05')]"
Inga Ferro,Gustav Cazar,1,"[('Roberts and Sons', '2014-01-07 12:18:01', '2014-01-07 12:26:26')]"
Inga Ferro,Hennie Osvaldo,3,"[(""Katerina's Café"", '2014-01-18 18:35:01', '2014-01-18 18:36:45'), (""Guy's Gyros"", '2014-01-10 11:23:01', '2014-01-10 11:26:58'), (""Frydos Autosupply n' More"", '2014-01-16 20:31:01', '2014-01-16 20:32:45')]"
Inga Ferro,Hideki Cocinaro,1,"[('Roberts and Sons', '2014-01-11 18:28:01', '2014-01-11 18:35:05')]"
Inga Ferro,Isia Vann,4,"[(""Frydos Autosupply n' More"", '2014-01-08 17:27:01', '2014-01-08 17:31:46'), (""Frydos Autosupply n' More"", '2014-01-10 17:29:01', '2014-01-10 17:32:46'), (""Frydos Autosupply n' More"", '2014-01-15 20:05:01', '2014-01-15 20:06:05'), (""Frydos Autosupply n' More"", '2014-01-16 17:28:01', '2014-01-16 17:30:46')]"
Inga Ferro,Kare Orilla,1,"[('Roberts and Sons', '2014-01-10 12:25:01', '2014-01-10 12:25:57')]"
Inga Ferro,Lidelse Dedos,1,"[('Roberts and Sons', '2014-01-10 12:19:01', '2014-01-10 12:25:57')]"
Inga Ferro,Loreto Bodrogi,7,"[(""Katerina's Café"", '2014-01-08 07:18:01', '2014-01-08 07:19:36'), (""Katerina's Café"", '2014-01-14 07:33:01', '2014-01-14 07:33:36'), ('General Grocer', '2014-01-15 12:12:01', '2014-01-15 12:17:21'), ('Bean There Done That', '2014-01-17 11:07:01', '2014-01-17 11:15:32'), (""Frydos Autosupply n' More"", '2014-01-07 17:29:01', '2014-01-07 17:30:46'), (""Frydos Autosupply n' More"", '2014-01-10 17:28:01', '2014-01-10 17:29:46'), (""Frydos Autosupply n' More"", '2014-01-10 20:31:01', '2014-01-10 20:31:13')]"
Inga Ferro,Minke Mies,3,"[(""Katerina's Café"", '2014-01-09 07:46:01', '2014-01-09 07:46:53'), (""Katerina's Café"", '2014-01-16 08:01:01', '2014-01-16 08:01:53'), ('Roberts and Sons', '2014-01-10 12:20:01', '2014-01-10 12:22:38')]"
Inga Ferro,Nils Calixto,1,"[(""Brew've Been Served"", '2014-01-16 12:26:01', '2014-01-16 12:26:42')]"
Inga Ferro,Orhan Strum,1,"[('General Grocer', '2014-01-17 12:10:01', '2014-01-17 12:10:34')]"
Inga Ferro,Stenig Fusil,1,"[(""Katerina's Café"", '2014-01-08 07:18:01', '2014-01-08 07:19:36')]"
Inga Ferro,Sven Flecha,2,"[(""Katerina's Café"", '2014-01-14 07:33:01', '2014-01-14 07:33:53'), ('Roberts and Sons', '2014-01-09 12:25:01', '2014-01-09 12:27:46')]"
Inga Ferro,Varja Lagos,2,"[(""Katerina's Café"", '2014-01-14 07:33:01', '2014-01-14 07:34:23'), ('Roberts and Sons', '2014-01-10 12:16:01', '2014-01-10 12:23:26')]"
Inga Ferro,nan nan,1,"[(""Katerina's Café"", '2014-01-16 11:32:26', '2014-01-16 11:33:18')]"
Ingrid Barranco,Ada Campo-Corrente,7,"[('Spetson Park', '2014-01-06 18:20:01', '2014-01-06 18:21:59'), ('Spetson Park', '2014-01-09 18:02:01', '2014-01-09 18:05:22'), ('Spetson Park', '2014-01-17 18:11:01', '2014-01-17 18:11:22'), ('Spetson Park', '2014-01-19 16:02:01', '2014-01-19 16:06:03'), (""Albert's Fine Clothing"", '2014-01-13 19:31:01', '2014-01-13 19:31:35'), ('Desafio Golf Course', '2014-01-12 13:04:01', '2014-01-12 13:06:05'), ('Desafio Golf Course', '2014-01-19 12:35:01', '2014-01-19 12:36:05')]"
Ingrid Barranco,Axel Calzas,1,"[('Roberts and Sons', '2014-01-13 12:20:01', '2014-01-13 12:26:17')]"
Ingrid Barranco,Brand Tempestad,2,"[(""Albert's Fine Clothing"", '2014-01-11 18:25:01', '2014-01-11 18:28:13'), ('Roberts and Sons', '2014-01-07 12:17:01', '2014-01-07 12:17:17')]"
Ingrid Barranco,Edvard Vann,1,"[('Roberts and Sons', '2014-01-07 12:09:01', '2014-01-07 12:15:26')]"
Ingrid Barranco,Felix Resumir,1,"[('Roberts and Sons', '2014-01-15 12:19:01', '2014-01-15 12:19:17')]"
Ingrid Barranco,Hideki Cocinaro,3,"[(""Katerina's Café"", '2014-01-10 12:24:01', '2014-01-10 12:25:23'), ('Roberts and Sons', '2014-01-06 12:34:01', '2014-01-06 12:36:17'), ('Roberts and Sons', '2014-01-07 12:09:01', '2014-01-07 12:15:26')]"
Ingrid Barranco,Isak Baza,1,"[('Roberts and Sons', '2014-01-07 12:09:01', '2014-01-07 12:16:17')]"
Ingrid Barranco,Kare Orilla,1,"[('Roberts and Sons', '2014-01-15 12:15:01', '2014-01-15 12:19:17')]"
Ingrid Barranco,Lars Azada,1,"[('Roberts and Sons', '2014-01-07 12:09:01', '2014-01-07 12:13:17')]"
Ingrid Barranco,Lidelse Dedos,1,"[('Roberts and Sons', '2014-01-15 12:11:01', '2014-01-15 12:11:26')]"
Ingrid Barranco,Linnea Bergen,1,"[(""Albert's Fine Clothing"", '2014-01-14 12:12:01', '2014-01-14 12:18:27')]"
Ingrid Barranco,Loreto Bodrogi,3,"[(""Albert's Fine Clothing"", '2014-01-14 12:10:01', '2014-01-14 12:14:20'), ('Roberts and Sons', '2014-01-13 12:20:01', '2014-01-13 12:21:29'), (""Brew've Been Served"", '2014-01-17 12:22:01', '2014-01-17 12:22:42')]"
Ingrid Barranco,Lucas Alcazar,1,"[(""Albert's Fine Clothing"", '2014-01-14 12:09:01', '2014-01-14 12:14:27')]"
Ingrid Barranco,Minke Mies,1,"[(""Albert's Fine Clothing"", '2014-01-11 12:58:01', '2014-01-11 13:01:13')]"
Ingrid Barranco,Orhan Strum,2,"[(""Albert's Fine Clothing"", '2014-01-07 19:33:01', '2014-01-07 19:33:13'), ('Desafio Golf Course', '2014-01-19 12:31:01', '2014-01-19 12:36:04')]"
Ingrid Barranco,Sven Flecha,1,"[('Roberts and Sons', '2014-01-15 12:14:01', '2014-01-15 12:19:17')]"
Ingrid Barranco,Varja Lagos,2,"[(""Katerina's Café"", '2014-01-18 12:44:01', '2014-01-18 12:45:07'), (""Brew've Been Served"", '2014-01-17 12:21:01', '2014-01-17 12:22:42')]"
Ingrid Barranco,Vira Frente,2,"[(""Albert's Fine Clothing"", '2014-01-10 19:41:01', '2014-01-10 19:41:38'), ('Roberts and Sons', '2014-01-15 12:11:01', '2014-01-15 12:19:17')]"
Isak Baza,Ada Campo-Corrente,1,"[(""Albert's Fine Clothing"", '2014-01-15 11:57:01', '2014-01-15 12:01:27')]"
Isak Baza,Brand Tempestad,1,"[(""Albert's Fine Clothing"", '2014-01-15 11:52:01', '2014-01-15 11:58:27')]"
Isak Baza,Edvard Vann,2,"[('General Grocer', '2014-01-09 12:02:01', '2014-01-09 12:03:16'), ('Roberts and Sons', '2014-01-07 12:08:01', '2014-01-07 12:15:26')]"
Isak Baza,Elsa Orilla,1,"[(""Albert's Fine Clothing"", '2014-01-16 12:15:01', '2014-01-16 12:20:27')]"
Isak Baza,Hideki Cocinaro,3,"[(""Katerina's Café"", '2014-01-08 12:14:01', '2014-01-08 12:16:23'), ('Ouzeri Elian', '2014-01-14 12:05:01', '2014-01-14 12:06:05'), ('Roberts and Sons', '2014-01-07 12:08:01', '2014-01-07 12:15:26')]"
Isak Baza,Ingrid Barranco,1,"[('Roberts and Sons', '2014-01-07 12:09:01', '2014-01-07 12:16:17')]"
Isak Baza,Isia Vann,1,"[(""Albert's Fine Clothing"", '2014-01-16 12:15:01', '2014-01-16 12:24:27')]"
Isak Baza,Kanon Herrero,2,"[('Ouzeri Elian', '2014-01-19 18:47:01', '2014-01-19 18:51:09'), ('White Building', '2014-01-10 18:54:01', '2014-01-10 19:02:25')]"
Isak Baza,Lars Azada,1,"[('Roberts and Sons', '2014-01-07 12:08:01', '2014-01-07 12:13:17')]"
Isak Baza,Lidelse Dedos,1,"[('White Building', '2014-01-10 18:54:01', '2014-01-10 18:59:30')]"
Isak Baza,Loreto Bodrogi,1,"[(""Katerina's Café"", '2014-01-06 12:01:01', '2014-01-06 12:03:23')]"
Isak Baza,Lucas Alcazar,1,"[('White Building', '2014-01-10 19:00:01', '2014-01-10 19:02:25')]"
Isak Baza,Marin Onda,1,"[('Roberts and Sons', '2014-01-10 11:56:01', '2014-01-10 12:00:17')]"
Isak Baza,Orhan Strum,2,"[(""Albert's Fine Clothing"", '2014-01-16 12:18:01', '2014-01-16 12:24:27'), (""Jack's Magic Beans"", '2014-01-09 07:12:01', '2014-01-09 07:12:24')]"
Isak Baza,Sven Flecha,1,"[('Ouzeri Elian', '2014-01-12 18:36:01', '2014-01-12 18:39:09')]"
Isande Borrasca,Adra Nubarron,2,"[(""Guy's Gyros"", '2014-01-12 19:51:01', '2014-01-12 20:01:01'), (""Guy's Gyros"", '2014-01-18 20:07:01', '2014-01-18 20:18:03')]"
Isande Borrasca,Bertrand Ovan,1,"[(""Guy's Gyros"", '2014-01-19 18:25:16', '2014-01-19 18:25:16')]"
Isande Borrasca,Felix Resumir,1,"[(""Guy's Gyros"", '2014-01-18 20:14:01', '2014-01-18 20:18:03')]"
Isande Borrasca,Hennie Osvaldo,1,"[(""Guy's Gyros"", '2014-01-18 20:08:01', '2014-01-18 20:11:05')]"
Isande Borrasca,Marin Onda,1,"[('Taxiarchon Park', '2014-01-17 20:10:01', '2014-01-17 20:12:47')]"
Isande Borrasca,Willem Vasco-Pais,1,"[('Ahaggo Museum', '2014-01-19 20:05:01', '2014-01-19 20:07:17')]"
Isia Vann,Brand Tempestad,3,"[(""Katerina's Café"", '2014-01-10 07:16:01', '2014-01-10 07:16:53'), (""Katerina's Café"", '2014-01-15 07:23:01', '2014-01-15 07:24:53'), (""Brew've Been Served"", '2014-01-13 19:17:01', '2014-01-13 19:18:05')]"
Isia Vann,Edvard Vann,2,"[(""Katerina's Café"", '2014-01-14 07:10:01', '2014-01-14 07:12:36'), (""Katerina's Café"", '2014-01-17 07:44:01', '2014-01-17 07:46:36')]"
Isia Vann,Elsa Orilla,2,"[(""Albert's Fine Clothing"", '2014-01-16 12:15:01', '2014-01-16 12:20:27'), (""Brew've Been Served"", '2014-01-15 19:02:01', '2014-01-15 19:03:02')]"
Isia Vann,Hennie Osvaldo,2,"[(""Katerina's Café"", '2014-01-14 07:11:01', '2014-01-14 07:12:36'), (""Katerina's Café"", '2014-01-15 07:23:01', '2014-01-15 07:25:36')]"
Isia Vann,Inga Ferro,4,"[(""Frydos Autosupply n' More"", '2014-01-08 17:27:01', '2014-01-08 17:31:46'), (""Frydos Autosupply n' More"", '2014-01-10 17:29:01', '2014-01-10 17:32:46'), (""Frydos Autosupply n' More"", '2014-01-15 20:05:01', '2014-01-15 20:06:05'), (""Frydos Autosupply n' More"", '2014-01-16 17:28:01', '2014-01-16 17:30:46')]"
Isia Vann,Isak Baza,1,"[(""Albert's Fine Clothing"", '2014-01-16 12:15:01', '2014-01-16 12:24:27')]"
Isia Vann,Lidelse Dedos,1,"[('Roberts and Sons', '2014-01-17 11:56:01', '2014-01-17 12:04:17')]"
Isia Vann,Linnea Bergen,1,"[(""Albert's Fine Clothing"", '2014-01-13 11:50:01', '2014-01-13 11:55:27')]"
